Contract A,Contract B,Similarity,Size A,Size B
TransparentUpgradeableProxy_0x1c47.sol,ERC1967Proxy_0x5ccb.sol,97.72,28908,23612
TransparentUpgradeableProxy_0x1c47.sol,ERC1967Proxy_0x604d.sol,97.72,28908,23612
TransparentUpgradeableProxy_0x6c96.sol,ERC1967Proxy_0x604d.sol,97.71,28886,23612
TransparentUpgradeableProxy_0x6c96.sol,ERC1967Proxy_0x5ccb.sol,97.71,28886,23612
TransparentUpgradeableProxy_0x33b4.sol,TransparentUpgradeableProxy_0xb3fa.sol,97.68,36593,36734
TransparentUpgradeableProxy_0x02b8.sol,ERC1967Proxy_0x5ccb.sol,97.65,29086,23612
TransparentUpgradeableProxy_0x02b8.sol,ERC1967Proxy_0x604d.sol,97.65,29086,23612
ERC1967Proxy_0x5c7b.sol,TransparentUpgradeableProxy_0x43de.sol,97.59,38428,35765
ERC1967Proxy_0x6e2a.sol,TransparentUpgradeableProxy_0x43de.sol,97.59,38428,35765
ERC1967Proxy_0x6e2a.sol,TransparentUpgradeableProxy_0x6874.sol,97.59,38428,35765
ERC1967Proxy_0x5c7b.sol,TransparentUpgradeableProxy_0x6874.sol,97.59,38428,35765
UUPSProxy_0x031d.sol,ERC1967Proxy_0x9ccc.sol,97.57,24331,22647
OrderToken_0xabd4.sol,TetherUSD_0x3f69.sol,97.28,23151,25680
OptimizedTransparentUpgradeableProxy_0x1732.sol,ERC1967Proxy_0x604d.sol,97.23,28981,23612
ERC1967Proxy_0x5ccb.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,97.23,23612,28981
TetherUSD_0x3f69.sol,CTAToken_0x9068.sol,97.21,25680,23553
ApprovalProxy_0xbbbf.sol,RelayApprovalProxyV3_0xccc8.sol,97.18,93233,99570
ERC1967Proxy_0xebf6.sol,ERC1967Proxy_0x604d.sol,97.17,26631,23612
ERC1967Proxy_0xb007.sol,ERC1967Proxy_0x604d.sol,97.17,26631,23612
ERC1967Proxy_0xb773.sol,ERC1967Proxy_0x5ccb.sol,97.17,26631,23612
ERC1967Proxy_0xee7a.sol,ERC1967Proxy_0x5ccb.sol,97.17,26631,23612
ERC1967Proxy_0xee7a.sol,ERC1967Proxy_0x604d.sol,97.17,26631,23612
ERC1967Proxy_0xb773.sol,ERC1967Proxy_0x604d.sol,97.17,26631,23612
ERC1967Proxy_0xb007.sol,ERC1967Proxy_0x5ccb.sol,97.17,26631,23612
ERC1967Proxy_0xebf6.sol,ERC1967Proxy_0x5ccb.sol,97.17,26631,23612
ERC1967Proxy_0x328f.sol,ERC1967Proxy_0xfaf1.sol,97.15,40825,40127
ERC1967Proxy_0x328f.sol,TransparentUpgradeableProxy_0xf668.sol,97.15,40825,40127
ERC1967Proxy_0x511c.sol,ERC1967Proxy_0xfaf1.sol,97.15,40825,40127
ERC1967Proxy_0x511c.sol,ERC1967Proxy_0x46ea.sol,97.15,40825,40127
ERC1967Proxy_0x511c.sol,TransparentUpgradeableProxy_0xf668.sol,97.15,40825,40127
ERC1967Proxy_0x328f.sol,ERC1967Proxy_0x46ea.sol,97.15,40825,40127
BeaconProxy_0x1f5f.sol,ERC1967Proxy_0x5ccb.sol,97.1,23776,23612
BeaconProxy_0x74a0.sol,ERC1967Proxy_0x604d.sol,97.1,23776,23612
BeaconProxy_0x1f5f.sol,ERC1967Proxy_0x604d.sol,97.1,23776,23612
BeaconProxy_0x74a0.sol,ERC1967Proxy_0x5ccb.sol,97.1,23776,23612
UUPSProxy_0x031d.sol,VaultProxy_0x0e60.sol,97.08,24331,25499
VaultProxy_0x0e60.sol,ERC1967Proxy_0x2222.sol,96.9,25499,23429
TransparentUpgradeableProxy_0x33b4.sol,ERC1967Proxy_0xfaf1.sol,96.81,36593,40127
TransparentUpgradeableProxy_0x33b4.sol,ERC1967Proxy_0x46ea.sol,96.81,36593,40127
TransparentUpgradeableProxy_0x33b4.sol,TransparentUpgradeableProxy_0xf668.sol,96.81,36593,40127
TransparentUpgradeableProxy_0x33b4.sol,ERC1967Proxy_0x328f.sol,96.71,36593,40825
TransparentUpgradeableProxy_0x33b4.sol,ERC1967Proxy_0x511c.sol,96.71,36593,40825
ERC1967Proxy_0xf4e1.sol,VaultProxy_0x0e60.sol,96.66,23725,25499
ERC1967Proxy_0x58d9.sol,VaultProxy_0x0e60.sol,96.66,23725,25499
ERC1967Proxy_0x7714.sol,VaultProxy_0x0e60.sol,96.66,23309,25499
TransparentUpgradeableProxy_0x02b8.sol,ERC1967Proxy_0x3ef3.sol,96.58,29086,24631
TransparentUpgradeableProxy_0x33b4.sol,TransparentUpgradeableProxy_0x1d68.sol,96.43,36593,43091
ZamaERC20_0xa12c.sol,FF_0xfa1c.sol,96.41,203390,150922
TetherUSD_0x3f69.sol,Open_0xa227.sol,96.41,25680,24861
ERC1967Proxy_0x3ef3.sol,TransparentUpgradeableProxy_0x85ec.sol,96.29,24631,28908
ERC1967Proxy_0x3ef3.sol,TransparentUpgradeableProxy_0x1c47.sol,96.29,24631,28908
ERC1967Proxy_0x3ef3.sol,TransparentUpgradeableProxy_0x6c96.sol,96.27,24631,28886
FixedToken_0xd441.sol,Turbo_0xa359.sol,95.92,17919,21588
BeaconProxy_0x1f5f.sol,ERC1967Proxy_0x3ef3.sol,95.91,23776,24631
BeaconProxy_0x74a0.sol,ERC1967Proxy_0x3ef3.sol,95.91,23776,24631
BTR_0x6c76.sol,Succinct_0x6bef.sol,95.9,187609,145962
ERC1967Proxy_0x3ef3.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,95.76,24631,28981
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0xec53.sol,95.02,26631,35070
TransparentUpgradeableProxy_0x0366.sol,ERC1967Proxy_0xee7a.sol,95.02,35070,26631
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0x0366.sol,95.02,26631,35070
ERC1967Proxy_0xb007.sol,TransparentUpgradeableProxy_0x2e51.sol,95.02,26631,35097
ERC1967Proxy_0xb007.sol,TransparentUpgradeableProxy_0x8be3.sol,95.02,26631,35070
ERC1967Proxy_0xebf6.sol,TransparentUpgradeableProxy_0x18cc.sol,95.02,26631,35097
ERC1967Proxy_0xebf6.sol,TransparentUpgradeableProxy_0xa129.sol,95.02,26631,35070
ERC1967Proxy_0xb007.sol,TransparentUpgradeableProxy_0xa129.sol,95.02,26631,35070
ERC1967Proxy_0xee7a.sol,TransparentUpgradeableProxy_0xec53.sol,95.02,26631,35070
ERC1967Proxy_0xb007.sol,TransparentUpgradeableProxy_0x18cc.sol,95.02,26631,35097
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0x7598.sol,95.02,26631,35070
ERC1967Proxy_0xb007.sol,TransparentUpgradeableProxy_0x7598.sol,95.02,26631,35070
ERC1967Proxy_0xee7a.sol,TransparentUpgradeableProxy_0x8be3.sol,95.02,26631,35070
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0x8be3.sol,95.02,26631,35070
ERC1967Proxy_0xb007.sol,TransparentUpgradeableProxy_0xec53.sol,95.02,26631,35070
TransparentUpgradeableProxy_0x2e51.sol,ERC1967Proxy_0xebf6.sol,95.02,35097,26631
ERC1967Proxy_0xee7a.sol,TransparentUpgradeableProxy_0xa129.sol,95.02,26631,35070
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0xa129.sol,95.02,26631,35070
ERC1967Proxy_0xee7a.sol,TransparentUpgradeableProxy_0x7598.sol,95.02,26631,35070
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0x2e51.sol,95.02,26631,35097
ERC1967Proxy_0xee7a.sol,TransparentUpgradeableProxy_0x18cc.sol,95.02,26631,35097
ERC1967Proxy_0xebf6.sol,TransparentUpgradeableProxy_0xec53.sol,95.02,26631,35070
TransparentUpgradeableProxy_0x0366.sol,ERC1967Proxy_0xebf6.sol,95.02,35070,26631
TransparentUpgradeableProxy_0x2e51.sol,ERC1967Proxy_0xee7a.sol,95.02,35097,26631
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0x18cc.sol,95.02,26631,35097
ERC1967Proxy_0xb007.sol,TransparentUpgradeableProxy_0x0366.sol,95.02,26631,35070
ERC1967Proxy_0xebf6.sol,TransparentUpgradeableProxy_0x7598.sol,95.02,26631,35070
TransparentUpgradeableProxy_0x8be3.sol,ERC1967Proxy_0xebf6.sol,95.02,35070,26631
ERC1967Proxy_0xb007.sol,TransparentUpgradeableProxy_0x3d90.sol,95.01,26631,35060
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0x3d90.sol,95.01,26631,35060
ERC1967Proxy_0xee7a.sol,TransparentUpgradeableProxy_0x3d90.sol,95.01,26631,35060
ERC1967Proxy_0xebf6.sol,TransparentUpgradeableProxy_0x3d90.sol,95.01,26631,35060
TransparentUpgradeableProxy_0x02b8.sol,TransparentUpgradeableProxy_0x1a88.sol,95.0,29086,25143
TransparentUpgradeableProxy_0x1a9d.sol,TransparentUpgradeableProxy_0x3d90.sol,95.0,44163,35060
TransparentUpgradeableProxy_0xbca3.sol,TransparentUpgradeableProxy_0x3d90.sol,95.0,44163,35060
ERC1967Proxy_0xadf7.sol,TransparentUpgradeableProxy_0x3d90.sol,95.0,44163,35060
TransparentUpgradeableProxy_0x238a.sol,TransparentUpgradeableProxy_0x3d90.sol,95.0,44163,35060
TransparentUpgradeableProxy_0x3328.sol,TransparentUpgradeableProxy_0x3d90.sol,95.0,44163,35060
